Исходные данные
1961: [202.31 209.18]
1962: [219.08 221.57]
1963: [239.85 248.39]
1964: [278.27 283.73]
1965: [306.39 305.59]
1966: [328.61 337.14]
1967: [352.37 351.59]
1968: [402.38 400.18]
1969: [483.37 474.39]
1970: [562.65 533.68]
1971: [609.19 581.12]
1972: [683.46 633.35]
1973: [846.47 811.16]
1974: [1116.27 1109.35]
1975: [1065.21 1061.39]
1976: [1266.58 1261.47]
1977: [1474.85 1499.88]
1978: [1540.11 1570.85]
1979: [1798.81 1866.38]
1980: [2026.65 2125.11]
1981: [2286.64 2357.69]
1982: [2640.57 2694.44]
1983: [2924.28 2864.72]
1984: [3337.84 3277.94]
1985: [3479.21 3379.87]
1986: [3367.92 3187.85]
1987: [3477.43 3334.15]
1988: [3900.28 3719.21]
1989: [4498.77 4320.59]
1990: [4660.38 4506.95]
1991: [4846.69 4658.41]
1992: [4980.87 4713.19]
1993: [5012.75 4674.73]
1994: [5491.28 5108.09]
1995: [5764.45 5377.49]
